FilePath,Severity,ControlName,FailedResources,AllResources,ComplianceScore
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/role-secretproviderclasses-viewer.yaml,High,Secret/etcd encryption enabled,5,8,37.5
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._role-secretproviderclasses-viewer.yaml,High,Applications credentials in configuration files,3,14,78.57
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._role-secretproviderclasses-viewer.yaml,Medium,Cluster internal networking,11,11,0.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._role-secretproviderclasses-viewer.yaml,High,Secret/etcd encryption enabled,4,5,20.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/role-secretproviderclasses-admin.yaml,High,Applications credentials in configuration files,8,8,0.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/role-secretproviderclasses-admin.yaml,Medium,Cluster internal networking,2,10,80.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/role-secretproviderclasses-admin.yaml,High,Secret/etcd encryption enabled,12,17,29.41
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._role-secretproviderclasses-admin.yaml,High,Applications credentials in configuration files,10,11,9.09
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._role-secretproviderclasses-admin.yaml,Medium,Cluster internal networking,7,20,65.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._role-secretproviderclasses-admin.yaml,High,Secret/etcd encryption enabled,13,13,0.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/secrets-store.csi.x-k8s.io_secretproviderclasspodstatuses.yaml,High,Applications credentials in configuration files,1,4,75.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/secrets-store.csi.x-k8s.io_secretproviderclasspodstatuses.yaml,Medium,Cluster internal networking,2,4,50.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/secrets-store.csi.x-k8s.io_secretproviderclasspodstatuses.yaml,High,Secret/etcd encryption enabled,8,15,46.67
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._secrets-store.csi.x-k8s.io_secretproviderclasspodstatuses.yaml,High,Applications credentials in configuration files,1,5,80.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._secrets-store.csi.x-k8s.io_secretproviderclasspodstatuses.yaml,Medium,Cluster internal networking,3,13,76.92
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._secrets-store.csi.x-k8s.io_secretproviderclasspodstatuses.yaml,High,Secret/etcd encryption enabled,12,18,33.33
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/secrets-store-csi-driver.yaml,High,Applications credentials in configuration files,4,17,76.47
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/secrets-store-csi-driver.yaml,Medium,Cluster internal networking,2,11,81.82
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/secrets-store-csi-driver.yaml,High,Secret/etcd encryption enabled,8,10,20.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._secrets-store-csi-driver.yaml,High,Applications credentials in configuration files,8,20,60.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._secrets-store-csi-driver.yaml,Medium,Cluster internal networking,12,16,25.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._secrets-store-csi-driver.yaml,High,Secret/etcd encryption enabled,3,14,78.57
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/rbac-secretprovidersyncing.yaml,High,Applications credentials in configuration files,7,7,0.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/rbac-secretprovidersyncing.yaml,Medium,Cluster internal networking,0,5,100.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/rbac-secretprovidersyncing.yaml,High,Secret/etcd encryption enabled,1,6,83.33
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._rbac-secretprovidersyncing.yaml,High,Applications credentials in configuration files,6,8,25.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._rbac-secretprovidersyncing.yaml,Medium,Cluster internal networking,3,5,40.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._rbac-secretprovidersyncing.yaml,High,Secret/etcd encryption enabled,14,15,6.67
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/rbac-secretproviderclass.yaml,High,Applications credentials in configuration files,8,19,57.89
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/rbac-secretproviderclass.yaml,Medium,Cluster internal networking,0,20,100.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/rbac-secretproviderclass.yaml,High,Secret/etcd encryption enabled,5,6,16.67
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._rbac-secretproviderclass.yaml,High,Applications credentials in configuration files,8,20,60.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._rbac-secretproviderclass.yaml,Medium,Cluster internal networking,1,13,92.31
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._rbac-secretproviderclass.yaml,High,Secret/etcd encryption enabled,6,12,50.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/rbac-secretprovidertokenrequest.yaml,High,Applications credentials in configuration files,7,8,12.5
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/rbac-secretprovidertokenrequest.yaml,Medium,Cluster internal networking,2,3,33.33
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/rbac-secretprovidertokenrequest.yaml,High,Secret/etcd encryption enabled,5,19,73.68
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._rbac-secretprovidertokenrequest.yaml,High,Applications credentials in configuration files,3,19,84.21
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._rbac-secretprovidertokenrequest.yaml,Medium,Cluster internal networking,10,12,16.67
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._rbac-secretprovidertokenrequest.yaml,High,Secret/etcd encryption enabled,19,19,0.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/secrets-store-csi-driver-windows.yaml,High,Applications credentials in configuration files,2,9,77.78
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/secrets-store-csi-driver-windows.yaml,Medium,Cluster internal networking,12,14,14.29
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/secrets-store-csi-driver-windows.yaml,High,Secret/etcd encryption enabled,8,8,0.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._secrets-store-csi-driver-windows.yaml,High,Applications credentials in configuration files,0,19,100.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._secrets-store-csi-driver-windows.yaml,Medium,Cluster internal networking,7,13,46.15
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._secrets-store-csi-driver-windows.yaml,High,Secret/etcd encryption enabled,0,3,100.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/role-secretproviderclasspodstatuses-viewer.yaml,High,Applications credentials in configuration files,14,14,0.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/role-secretproviderclasspodstatuses-viewer.yaml,Medium,Cluster internal networking,3,12,75.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/role-secretproviderclasspodstatuses-viewer.yaml,High,Secret/etcd encryption enabled,1,4,75.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._role-secretproviderclasspodstatuses-viewer.yaml,High,Applications credentials in configuration files,0,5,100.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._role-secretproviderclasspodstatuses-viewer.yaml,Medium,Cluster internal networking,2,18,88.89
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._role-secretproviderclasspodstatuses-viewer.yaml,High,Secret/etcd encryption enabled,4,20,80.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/rbac-secretproviderrotation.yaml,High,Applications credentials in configuration files,7,7,0.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/rbac-secretproviderrotation.yaml,Medium,Cluster internal networking,5,20,75.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/rbac-secretproviderrotation.yaml,High,Secret/etcd encryption enabled,8,11,27.27
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._rbac-secretproviderrotation.yaml,High,Applications credentials in configuration files,6,16,62.5
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._rbac-secretproviderrotation.yaml,Medium,Cluster internal networking,6,20,70.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._rbac-secretproviderrotation.yaml,High,Secret/etcd encryption enabled,6,12,50.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/secrets-store.csi.x-k8s.io_secretproviderclasses.yaml,High,Applications credentials in configuration files,7,14,50.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/secrets-store.csi.x-k8s.io_secretproviderclasses.yaml,Medium,Cluster internal networking,14,19,26.32
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/secrets-store.csi.x-k8s.io_secretproviderclasses.yaml,High,Secret/etcd encryption enabled,1,6,83.33
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._secrets-store.csi.x-k8s.io_secretproviderclasses.yaml,High,Applications credentials in configuration files,1,10,90.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._secrets-store.csi.x-k8s.io_secretproviderclasses.yaml,Medium,Cluster internal networking,0,13,100.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/deploy/._secrets-store.csi.x-k8s.io_secretproviderclasses.yaml,High,Secret/etcd encryption enabled,7,20,65.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/.local/persistent-volume.yaml,High,Applications credentials in configuration files,0,10,100.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/.local/persistent-volume.yaml,Medium,Cluster internal networking,5,5,0.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/.local/persistent-volume.yaml,High,Secret/etcd encryption enabled,1,4,75.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/.local/._persistent-volume.yaml,High,Applications credentials in configuration files,0,5,100.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/.local/._persistent-volume.yaml,Medium,Cluster internal networking,1,13,92.31
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/.local/._persistent-volume.yaml,High,Secret/etcd encryption enabled,7,19,63.16
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/.local/debug-driver.yaml,High,Applications credentials in configuration files,10,11,9.09
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/.local/debug-driver.yaml,Medium,Cluster internal networking,6,18,66.67
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/.local/debug-driver.yaml,High,Secret/etcd encryption enabled,4,20,80.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/.local/._debug-driver.yaml,High,Applications credentials in configuration files,7,18,61.11
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/.local/._debug-driver.yaml,Medium,Cluster internal networking,13,18,27.78
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/secrets-store-csi-driver/.local/._debug-driver.yaml,High,Secret/etcd encryption enabled,1,9,88.89
/tmp/kubescape_1itf8sji/YAMLfiles/repos/argocd-image-updater/manifests/install.yaml,High,Applications credentials in configuration files,5,6,16.67
/tmp/kubescape_1itf8sji/YAMLfiles/repos/argocd-image-updater/manifests/install.yaml,Medium,Cluster internal networking,11,16,31.25
/tmp/kubescape_1itf8sji/YAMLfiles/repos/argocd-image-updater/manifests/install.yaml,High,Secret/etcd encryption enabled,13,16,18.75
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/argocd-image-updater/manifests/._install.yaml,High,Applications credentials in configuration files,1,17,94.12
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/argocd-image-updater/manifests/._install.yaml,Medium,Cluster internal networking,0,6,100.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/argocd-image-updater/manifests/._install.yaml,High,Secret/etcd encryption enabled,10,15,33.33
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kubeeye/deploy/kubeeye_plugin_kubehunter.yaml,High,Applications credentials in configuration files,1,6,83.33
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kubeeye/deploy/kubeeye_plugin_kubehunter.yaml,Medium,Cluster internal networking,3,9,66.67
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kubeeye/deploy/kubeeye_plugin_kubehunter.yaml,High,Secret/etcd encryption enabled,14,20,30.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kubeeye/deploy/._kubeeye_plugin_kubehunter.yaml,High,Applications credentials in configuration files,6,7,14.29
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kubeeye/deploy/._kubeeye_plugin_kubehunter.yaml,Medium,Cluster internal networking,4,8,50.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kubeeye/deploy/._kubeeye_plugin_kubehunter.yaml,High,Secret/etcd encryption enabled,7,17,58.82
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kubeeye/deploy/kubeeye.yaml,High,Applications credentials in configuration files,3,5,40.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kubeeye/deploy/kubeeye.yaml,Medium,Cluster internal networking,3,20,85.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kubeeye/deploy/kubeeye.yaml,High,Secret/etcd encryption enabled,4,4,0.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kubeeye/deploy/._kubeeye.yaml,High,Applications credentials in configuration files,0,3,100.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kubeeye/deploy/._kubeeye.yaml,Medium,Cluster internal networking,2,10,80.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kubeeye/deploy/._kubeeye.yaml,High,Secret/etcd encryption enabled,15,16,6.25
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kubeeye/deploy/kubeeye_plugin_kubebench.yaml,High,Applications credentials in configuration files,6,18,66.67
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kubeeye/deploy/kubeeye_plugin_kubebench.yaml,Medium,Cluster internal networking,1,15,93.33
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kubeeye/deploy/kubeeye_plugin_kubebench.yaml,High,Secret/etcd encryption enabled,6,8,25.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kubeeye/deploy/._kubeeye_plugin_kubebench.yaml,High,Applications credentials in configuration files,3,3,0.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kubeeye/deploy/._kubeeye_plugin_kubebench.yaml,Medium,Cluster internal networking,7,11,36.36
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kubeeye/deploy/._kubeeye_plugin_kubebench.yaml,High,Secret/etcd encryption enabled,6,12,50.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kubeeye/deploy/kubeeye_plugin_kubescape.yaml,High,Applications credentials in configuration files,15,20,25.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kubeeye/deploy/kubeeye_plugin_kubescape.yaml,Medium,Cluster internal networking,3,7,57.14
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kubeeye/deploy/kubeeye_plugin_kubescape.yaml,High,Secret/etcd encryption enabled,3,12,75.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kubeeye/deploy/._kubeeye_plugin_kubescape.yaml,High,Applications credentials in configuration files,4,4,0.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kubeeye/deploy/._kubeeye_plugin_kubescape.yaml,Medium,Cluster internal networking,1,20,95.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kubeeye/deploy/._kubeeye_plugin_kubescape.yaml,High,Secret/etcd encryption enabled,0,13,100.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/nacos-k8s/openshift/nacos-template.yaml,High,Applications credentials in configuration files,4,4,0.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/nacos-k8s/openshift/nacos-template.yaml,Medium,Cluster internal networking,16,18,11.11
/tmp/kubescape_1itf8sji/YAMLfiles/repos/nacos-k8s/openshift/nacos-template.yaml,High,Secret/etcd encryption enabled,5,19,73.68
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/nacos-k8s/openshift/._nacos-template.yaml,High,Applications credentials in configuration files,4,4,0.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/nacos-k8s/openshift/._nacos-template.yaml,Medium,Cluster internal networking,1,5,80.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/nacos-k8s/openshift/._nacos-template.yaml,High,Secret/etcd encryption enabled,4,5,20.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/argo-cd/notifications_catalog/install.yaml,High,Applications credentials in configuration files,5,5,0.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/argo-cd/notifications_catalog/install.yaml,Medium,Cluster internal networking,6,10,40.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/argo-cd/notifications_catalog/install.yaml,High,Secret/etcd encryption enabled,4,6,33.33
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/argo-cd/notifications_catalog/._install.yaml,High,Applications credentials in configuration files,9,10,10.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/argo-cd/notifications_catalog/._install.yaml,Medium,Cluster internal networking,4,4,0.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/argo-cd/notifications_catalog/._install.yaml,High,Secret/etcd encryption enabled,3,5,40.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/argo-cd/manifests/core-install.yaml,High,Applications credentials in configuration files,10,19,47.37
/tmp/kubescape_1itf8sji/YAMLfiles/repos/argo-cd/manifests/core-install.yaml,Medium,Cluster internal networking,3,11,72.73
/tmp/kubescape_1itf8sji/YAMLfiles/repos/argo-cd/manifests/core-install.yaml,High,Secret/etcd encryption enabled,3,13,76.92
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/argo-cd/manifests/._core-install.yaml,High,Applications credentials in configuration files,6,11,45.45
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/argo-cd/manifests/._core-install.yaml,Medium,Cluster internal networking,4,7,42.86
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/argo-cd/manifests/._core-install.yaml,High,Secret/etcd encryption enabled,10,17,41.18
/tmp/kubescape_1itf8sji/YAMLfiles/repos/argo-cd/manifests/namespace-install.yaml,High,Applications credentials in configuration files,0,5,100.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/argo-cd/manifests/namespace-install.yaml,Medium,Cluster internal networking,3,17,82.35
/tmp/kubescape_1itf8sji/YAMLfiles/repos/argo-cd/manifests/namespace-install.yaml,High,Secret/etcd encryption enabled,4,5,20.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/argo-cd/manifests/._namespace-install.yaml,High,Applications credentials in configuration files,8,9,11.11
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/argo-cd/manifests/._namespace-install.yaml,Medium,Cluster internal networking,2,11,81.82
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/argo-cd/manifests/._namespace-install.yaml,High,Secret/etcd encryption enabled,14,14,0.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/argo-cd/manifests/install.yaml,High,Applications credentials in configuration files,1,5,80.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/argo-cd/manifests/install.yaml,Medium,Cluster internal networking,4,14,71.43
/tmp/kubescape_1itf8sji/YAMLfiles/repos/argo-cd/manifests/install.yaml,High,Secret/etcd encryption enabled,7,8,12.5
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/argo-cd/manifests/._install.yaml,High,Applications credentials in configuration files,9,20,55.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/argo-cd/manifests/._install.yaml,Medium,Cluster internal networking,0,19,100.0
